"","Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Date","Altitude"
"25","GGA",8.6745981503281,0.693411138524523,9.85779832143374,2.78435331222909,34.4646983278276,"2022-01-19","15m"
"26","CSI",0.000890150006706044,7.16993036353221,27.7482145969739,7.31862343832769,0.170696706000303,"2022-01-19","15m"
"27","NGRDI",11.8510218130269,1.02950812086747,1.00637776855651,3.2490384484784,2.44447050219333,"2022-01-19","15m"
"28","NGRDIveg",0.100848851734667,1.58380800082367,38.1025627387041,1.58272114886683,26.4843609409471,"2022-01-19","15m"
"29","TGI",5.96046250194449,14.0790040486181,0.206093857411787,0.01806956675696,1.90142412754997,"2022-01-19","15m"
"30","TGIveg",1.64282983293952,19.5711317776936,2.45628436723475,0.783578884734675,0.251234717995386,"2022-01-19","15m"
"31","Intensity",0.0966711701453686,8.63110296782634,16.4808297964542,13.1731171036868,2.92444810606497,"2022-01-19","30m"
"32","Hue",10.6257520165504,7.02239895214268,0.739506387098666,1.11169808028852,0.0707885500083074,"2022-01-19","30m"
"33","Saturation",6.84289883073582,8.83060657830226,8.08816891410749,0.533127964348848,0.171589755787899,"2022-01-19","30m"
"34","Lightness",0.0832684559000334,6.81969821784999,16.9827687300149,15.9356826144033,2.55552271419466,"2022-01-19","30m"
"35","a.",11.771854623025,2.59567241113864,3.42311096507767,0.902597694230911,4.63888302804019,"2022-01-19","30m"
"36","b.",7.70337801884736,7.11380209550707,0.974013180349649,11.640726943833,0.061187816573941,"2022-01-19","30m"
"37","u.",13.2907196921258,0.697107994555759,2.58539246418138,0.095105672145643,4.62729225012933,"2022-01-19","30m"
"38","v.",5.36619239838676,5.37832833072237,0.325544504034772,24.7649274023606,0.18241248337087,"2022-01-19","30m"
"39","GA",9.83736644111239,6.71884594554195,0.0174991735782896,1.63594345078834,66.8896389058443,"2022-01-19","30m"
"40","GGA",9.11952173770232,0.200770873069762,11.0757173586018,2.69716093715516,2.64433103275288,"2022-01-19","30m"
"41","CSI",2.13110221551525,3.86101651782677,16.9705389038192,12.1574764533274,2.27389626738962,"2022-01-19","30m"
"42","NGRDI",13.7813845627981,0.159771128322473,1.6664431884869,0.786155886565304,2.9599574547419,"2022-01-19","30m"
"43","NGRDIveg",3.42400232260451,3.21663905003868,17.9099900729892,7.27671665680301,0.541666543203385,"2022-01-19","30m"
"44","TGI",2.71890852606086,19.9470827593094,0.0200767802966318,7.02282819078785,6.24620748892807,"2022-01-19","30m"
