"","Component","eigenvalue","percentage.of.variance","cumulative.percentage.of.variance","Date","Altitude"
"77","comp 2",2.04048501232595,13.6032334155063,85.0289190372222,"2022-02-14","15m"
"78","comp 3",1.7730352769618,11.8202351797453,96.8491542169675,"2022-02-14","15m"
"79","comp 4",0.301568693131994,2.01045795421329,98.8596121711808,"2022-02-14","15m"
"80","comp 5",0.108054573105081,0.720363820700538,99.5799759918814,"2022-02-14","15m"
"81","comp 6",0.0428806140675041,0.285870760450027,99.8658467523314,"2022-02-14","15m"
"82","comp 7",0.0115209156599584,0.0768061043997227,99.9426528567311,"2022-02-14","15m"
"83","comp 8",0.00552235350825967,0.0368156900550644,99.9794685467862,"2022-02-14","15m"
"84","comp 9",0.00139087259143562,0.00927248394290411,99.9887410307291,"2022-02-14","15m"
"85","comp 10",0.00074909117364182,0.00499394115761213,99.9937349718867,"2022-02-14","15m"
"86","comp 11",0.000697146124363859,0.00464764082909239,99.9983826127158,"2022-02-14","15m"
"87","comp 12",0.000197175523534439,0.00131450349022959,99.999697116206,"2022-02-14","15m"
"88","comp 13",2.99099686855269e-05,0.000199399791236846,99.9998965159972,"2022-02-14","15m"
"89","comp 14",1.08860004573938e-05,7.25733363826253e-05,99.9999690893336,"2022-02-14","15m"
"90","comp 15",4.63659995500135e-06,3.09106663666757e-05,100,"2022-02-14","15m"
"91","comp 1",9.12332581425104,60.822172095007,60.822172095007,"2022-02-14","50m"
"92","comp 2",2.77098518898655,18.4732345932437,79.2954066882507,"2022-02-14","50m"
"93","comp 3",1.397115386618,9.31410257745332,88.609509265704,"2022-02-14","50m"
"94","comp 4",0.774652998951355,5.16435332634237,93.7738625920464,"2022-02-14","50m"
"95","comp 5",0.709532021691477,4.73021347794319,98.5040760699896,"2022-02-14","50m"
"96","comp 6",0.124693584055834,0.831290560372228,99.3353666303618,"2022-02-14","50m"
"97","comp 7",0.072214386157843,0.481429241052287,99.8167958714141,"2022-02-14","50m"
"98","comp 8",0.0217185650274776,0.144790433516517,99.9615863049306,"2022-02-14","50m"
"99","comp 9",0.00326264983647894,0.0217509989098596,99.9833373038405,"2022-02-14","50m"
"100","comp 10",0.00147743551496344,0.00984957009975628,99.9931868739402,"2022-02-14","50m"
"101","comp 11",0.000807732417914502,0.00538488278609668,99.9985717567263,"2022-02-14","50m"
"102","comp 12",0.000191110129453753,0.00127406752969169,99.999845824256,"2022-02-14","50m"
"103","comp 13",1.23778030881215e-05,8.25186872541433e-05,99.9999283429433,"2022-02-14","50m"
"104","comp 14",7.85100520550393e-06,5.23400347033596e-05,99.999980682978,"2022-02-14","50m"
"105","comp 15",2.89755330376797e-06,1.93170220251198e-05,100,"2022-02-14","50m"
"106","comp 1",7.66818002130545,51.1212001420363,51.1212001420363,"2022-02-14","ground"
"107","comp 2",4.62084886116823,30.8056590744549,81.9268592164912,"2022-02-14","ground"
"108","comp 3",1.47570742181459,9.83804947876394,91.7649086952551,"2022-02-14","ground"
"109","comp 4",0.76610187716305,5.10734584775366,96.8722545430088,"2022-02-14","ground"
"110","comp 5",0.240731072527746,1.60487381685164,98.4771283598604,"2022-02-14","ground"
"111","comp 6",0.116543416219488,0.776956108129923,99.2540844679904,"2022-02-14","ground"
"112","comp 7",0.0652116902615578,0.434744601743719,99.6888290697341,"2022-02-14","ground"
"113","comp 8",0.0242369061505818,0.161579374337212,99.8504084440713,"2022-02-14","ground"
"114","comp 9",0.0161917186380614,0.107944790920409,99.9583532349917,"2022-02-14","ground"
"115","comp 10",0.00345933387424509,0.0230622258283006,99.98141546082,"2022-02-14","ground"
"116","comp 11",0.00254647119939236,0.0169764746626158,99.9983919354826,"2022-02-14","ground"
"117","comp 12",0.000154075493586647,0.00102716995724431,99.9994191054399,"2022-02-14","ground"
"118","comp 13",5.13365587038585e-05,0.00034224372469239,99.9997613491645,"2022-02-14","ground"
"119","comp 14",3.3106789329599e-05,0.000220711928863993,99.9999820610934,"2022-02-14","ground"
"120","comp 15",2.69083598820773e-06,1.79389065880515e-05,100,"2022-02-14","ground"
"121","comp 1",11.9744249369117,79.8294995794115,79.8294995794115,"2022-03-09","15m"
"122","comp 2",2.38139405194149,15.8759603462766,95.7054599256881,"2022-03-09","15m"
"123","comp 3",0.464788555321437,3.09859036880958,98.8040502944977,"2022-03-09","15m"
"124","comp 4",0.111222814672798,0.741485431151988,99.5455357256497,"2022-03-09","15m"
"125","comp 5",0.0475558437696209,0.317038958464139,99.8625746841138,"2022-03-09","15m"
"126","comp 6",0.00819818381913137,0.0546545587942091,99.917229242908,"2022-03-09","15m"
"127","comp 7",0.0052119686309331,0.034746457539554,99.9519757004476,"2022-03-09","15m"
"128","comp 8",0.00343326599998176,0.0228884399998784,99.9748641404475,"2022-03-09","15m"
"129","comp 9",0.00199856429435267,0.0133237619623512,99.9881879024098,"2022-03-09","15m"
"130","comp 10",0.00126707361290952,0.00844715741939682,99.9966350598292,"2022-03-09","15m"
"131","comp 11",0.000399801931268442,0.00266534620845628,99.9993004060377,"2022-03-09","15m"
"132","comp 12",6.40042476122103e-05,0.000426694984081402,99.9997271010217,"2022-03-09","15m"
"133","comp 13",3.04245429064952e-05,0.000202830286043301,99.9999299313078,"2022-03-09","15m"
"134","comp 14",8.09015154401577e-06,5.39343436267718e-05,99.9999838656514,"2022-03-09","15m"
"135","comp 15",2.42015228711405e-06,1.61343485807603e-05,100,"2022-03-09","15m"
"136","comp 1",12.5278106043421,83.5187373622807,83.5187373622807,"2022-03-09","50m"
"137","comp 2",1.82834930054844,12.1889953369896,95.7077326992703,"2022-03-09","50m"
"138","comp 3",0.412785003761723,2.75190002507815,98.4596327243484,"2022-03-09","50m"
"139","comp 4",0.18415509164368,1.22770061095786,99.6873333353063,"2022-03-09","50m"
"140","comp 5",0.0255984101784226,0.170656067856151,99.8579894031624,"2022-03-09","50m"
"141","comp 6",0.00915652438004401,0.0610434958669601,99.9190328990294,"2022-03-09","50m"
"142","comp 7",0.00672454698888661,0.0448303132592441,99.9638632122887,"2022-03-09","50m"
"143","comp 8",0.00299408214497524,0.0199605476331683,99.9838237599218,"2022-03-09","50m"
"144","comp 9",0.00176939071544083,0.0117959381029389,99.9956196980248,"2022-03-09","50m"
"145","comp 10",0.000429340997973052,0.00286227331982035,99.9984819713446,"2022-03-09","50m"
"146","comp 11",0.000142476502535913,0.000949843350239418,99.9994318146948,"2022-03-09","50m"
"147","comp 12",5.54937810906341e-05,0.000369958540604228,99.9998017732354,"2022-03-09","50m"
"148","comp 13",1.85764314080278e-05,0.000123842876053519,99.9999256161115,"2022-03-09","50m"
"149","comp 14",8.72595115005621e-06,5.81730076670414e-05,99.9999837891191,"2022-03-09","50m"
"150","comp 15",2.43163212690758e-06,1.62108808460506e-05,100,"2022-03-09","50m"
"151","comp 1",12.4227803921949,82.8185359479662,82.8185359479662,"2022-03-09","30m"
"152","comp 2",2.01183426067714,13.4122284045143,96.2307643524805,"2022-03-09","30m"
"153","comp 3",0.391805485327251,2.61203656884834,98.8428009213288,"2022-03-09","30m"
"154","comp 4",0.132381345401046,0.882542302673639,99.7253432240024,"2022-03-09","30m"
"155","comp 5",0.0168527099683359,0.112351399788906,99.8376946237914,"2022-03-09","30m"
"156","comp 6",0.00985954803157824,0.0657303202105217,99.9034249440019,"2022-03-09","30m"
"157","comp 7",0.00657149457946578,0.0438099638631053,99.947234907865,"2022-03-09","30m"
"158","comp 8",0.00405059240506354,0.0270039493670903,99.9742388572321,"2022-03-09","30m"
"159","comp 9",0.00266969088842086,0.0177979392561391,99.9920367964882,"2022-03-09","30m"
"160","comp 10",0.000662843657871779,0.00441895771914519,99.9964557542074,"2022-03-09","30m"
"161","comp 11",0.000372355182646777,0.00248236788431185,99.9989381220917,"2022-03-09","30m"
"162","comp 12",0.000103462552519,0.000689750350126668,99.9996278724418,"2022-03-09","30m"
"163","comp 13",3.1625293938211e-05,0.000210835292921407,99.9998387077347,"2022-03-09","30m"
"164","comp 14",2.15718190323438e-05,0.000143812126882292,99.9999825198616,"2022-03-09","30m"
"165","comp 15",2.62202076067642e-06,1.74801384045095e-05,100,"2022-03-09","30m"
"166","comp 1",9.36838517571461,62.4559011714308,62.4559011714308,"2022-03-09","ground"
"167","comp 2",4.1958423694092,27.972282462728,90.4281836341588,"2022-03-09","ground"
"168","comp 3",0.864255772755848,5.76170515170566,96.1898887858645,"2022-03-09","ground"
"169","comp 4",0.372958588509561,2.48639059006374,98.6762793759282,"2022-03-09","ground"
"170","comp 5",0.135273251626759,0.901821677511724,99.57810105344,"2022-03-09","ground"
"171","comp 6",0.0382933022254855,0.255288681503237,99.8333897349432,"2022-03-09","ground"
"172","comp 7",0.0155717707443268,0.103811804962179,99.9372015399054,"2022-03-09","ground"
"173","comp 8",0.00493239932105563,0.0328826621403709,99.9700842020457,"2022-03-09","ground"
"174","comp 9",0.00209918435865763,0.0139945623910509,99.9840787644368,"2022-03-09","ground"
"175","comp 10",0.0014408044153649,0.00960536276909937,99.9936841272059,"2022-03-09","ground"
"176","comp 11",0.000874094274911389,0.00582729516607593,99.999511422372,"2022-03-09","ground"
"177","comp 12",3.4004387933107e-05,0.000226695919554047,99.9997381182915,"2022-03-09","ground"
"178","comp 13",2.26842457799891e-05,0.000151228305199928,99.9998893465967,"2022-03-09","ground"
"179","comp 14",1.07567496235594e-05,7.17116641570626e-05,99.9999610582609,"2022-03-09","ground"
"180","comp 15",5.84126086964087e-06,3.89417391309392e-05,100,"2022-03-09","ground"
"181","comp 1",12.5604914762082,83.7366098413883,83.7366098413883,"2022-03-22","50m"
"182","comp 2",1.15782377382814,7.71882515885429,91.4554350002426,"2022-03-22","50m"
"183","comp 3",0.767482913492466,5.11655275661644,96.571987756859,"2022-03-22","50m"
"184","comp 4",0.230682931391163,1.53788620927442,98.1098739661334,"2022-03-22","50m"
"185","comp 5",0.172879335472925,1.15252890315284,99.2624028692863,"2022-03-22","50m"
