"","model_ID","emmean","SE","df","lower.CL","upper.CL",".group","model","altitude","Haun","MAPESD_overall","MAPE_overall","MAESD","MAE","R2SD","R2","RMSESD","RMSEmean"
"19","3 - 3.2 Ridge 50m",67.1561064062599,2.18857844035197,3164,60.6997265769891,73.6124862355306,"   cd   ","Ridge","50m","3 - 3.2",24.6306536099077,67.156106406261,7.14833388138858,54.3921688678408,0.0803939488444911,0.758743254396378,8.46145591043042,66.3741620469356
"20","3 - 3.2 Ridge ground",32.5230526880054,2.21079808047372,3164,26.0011241748718,39.044981201139," a    f ","Ridge","ground","3 - 3.2",5.29703422824134,32.523052688006,6.1906566920673,30.9528156132729,0.0327201769561518,0.923105383179381,8.35724292242785,37.5293612386163
"21","5.7 - 5.9 PCR 15m",25.1248499927093,1.46515523359237,3164,20.8025928953603,29.4471070900582,"       gh ","PCR","15m","5.7 - 5.9",4.94707447288971,25.1248499927087,7.1360304469865,32.0938198301341,0.0384855320203879,0.891812743311049,9.15937327943734,43.3556502292187
"22","5.7 - 5.9 PCR 30m",23.5741383908087,1.47253641498525,3164,19.2301065607006,27.9181702209168,"        h ","PCR","30m","5.7 - 5.9",5.9059523255169,23.5741383908068,5.2934288463897,30.1523989690778,0.0377372639611287,0.890185435325783,7.72201096890831,42.7085998300409
"23","5.7 - 5.9 PCR 50m",21.8921540087995,1.46883191499082,3164,17.5590505779667,26.2252574396323,"        h ","PCR","50m","5.7 - 5.9",3.55629585517805,21.8921540087989,6.02128893359632,29.5819221248129,0.0416184171017618,0.895695140593899,8.00696577559146,41.7276898486676
"24","5.7 - 5.9 PCR ground",31.9543910217519,1.46883191499082,3164,27.6212875909191,36.2874944525847,"     e g  ","PCR","ground","5.7 - 5.9",8.89613594143038,31.954391021751,7.02904020851319,34.4301868967872,0.0454426701172283,0.886406485579358,9.14318348778614,44.1578348804986
"25","5.7 - 5.9 Ridge 15m",22.3121616522095,2.18857844035199,3164,15.8557818229387,28.7685414814803,"      fg","Ridge","15m","5.7 - 5.9",4.53967872304863,22.3121616522085,4.55752509634578,29.8687198342711,0.033238872738865,0.900227685561581,6.38925115520065,41.5285014892819
"26","5.7 - 5.9 Ridge 30m",22.3359692639248,2.20517977893756,3164,15.8306149288257,28.841323599024,"      fg","Ridge","30m","5.7 - 5.9",5.42992425610815,22.3359692639244,7.09152553784703,29.4629415537442,0.0435673857485283,0.896784661345706,9.99901317745831,41.9032784258276
"27","5.7 - 5.9 Ridge 50m",21.2784125493865,2.19407049024284,3164,14.8058309886708,27.7509941101021,"       g","Ridge","50m","5.7 - 5.9",3.43603620817534,21.2784125493863,6.90713856116113,29.1833157158477,0.047238946283321,0.898916328118556,8.88569371929261,41.2960618138734
"28","5.7 - 5.9 Ridge ground",27.6413503390508,2.188578440352,3164,21.18497050978,34.0977301683216,"      fg","Ridge","ground","5.7 - 5.9",6.30235300510388,27.6413503390501,5.46829727039396,31.2651483759662,0.0345395330232816,0.905122956187715,7.38662575878541,40.4603405441723
"29","7.1 - 7.3 PCR 50m",21.7904805829089,1.46515523359237,3164,17.4682234855599,26.1127376802579,"        h ","PCR","50m","7.1 - 7.3",5.56382101280986,21.7904805829085,7.16189042159549,29.9853516952001,0.0636416088986006,0.869258947995301,11.7208923570185,45.6618720102345
"30","7.1 - 7.3 Ridge 50m",18.5534996494144,2.19407049024286,3164,12.0809180886987,25.0260812101301,"       g","Ridge","50m","7.1 - 7.3",3.4558123038775,18.5534996494145,8.14998310110414,28.8156033135381,0.0511606516910228,0.877480844001199,12.862894801188,45.589316223232
"31","8.5 - 9 PCR 50m",33.3798577800632,1.46883191499081,3164,29.0467543492304,37.7129612108959," a   e    ","PCR","50m","8.5 - 9",6.9761520326383,33.3798577800624,7.36894037980235,49.6538286038228,0.0634597328663847,0.732031635807868,9.11441743796212,67.0208764262338
"32","8.5 - 9 Ridge 50m",25.6644706446269,2.19407049024285,3164,19.1918890839112,32.1370522053426,"      fg","Ridge","50m","8.5 - 9",4.65395756482376,25.6644706446268,6.50456409087598,41.8789033536871,0.0525805425715145,0.81029379309615,7.26678728484378,56.5967733088448
